,Unnamed: 0,date,title,category,body,source
33,33,March 6,NCAA Hoops Game in Baltimore Held in Empty Gym for COVID-19,College Basketball,"In what was believed to be the first U.S. sports event held without fans because of the new coronavirus, Yeshiva University beat Worcester Polytechnic Institute in a Division III men's basketball NCAA Tournament game Friday in an empty gym at Johns Hopkins University.",By Reuters
34,34,March 18,All-Around World Cup Tokyo Canceled Over COVID-19,Olympics,"The Japan Gymnastics Association said it has canceled the Artistic Gymnastics All-Around World Cup Tokyo, scheduled for April 4-5, because of the coronavirus outbreak.",By Reuters
35,35,March 18,BAT Says No Material Impact Yet From COVID-19 Outbreak,Business,"British American Tobacco, the world's No.2 tobacco maker, said on Wednesday the coronavirus outbreak has not had any material impact on it as consumers continue to make purchases even in harder hit countries. ",By Reuters
36,36,8h ago,HIV Drug Combo Fails as Treatment for Severe COVID-19 in China Study,Asia Pacific,"A pill containing two HIV drugs that was touted as a potential treatment for the novel coronavirus was not effective, according to a study released late on Wednesday in the New England Journal of Medicine.",By The Associated Press
37,37,March 18,Tennis Tours Stop Until June for COVID-19; Rankings Frozen,Tennis,"The ATP and WTA professional tennis tours suspended all competition through at least June 7 because of the new coronavirus pandemic and froze their rankings Wednesday ""until further notice.""",By The Associated Press
38,38,March 17,Wide Swath of Economy Seeks Share of COVID-19 Rescue Package,Business,"As Congress works on a rescue package to help shore up a U.S. economy hard hit by the coronavirus pandemic, a wide swath of business, from the solar power industry to casinos and hotels, along with doctors, nurses and educators are urging lawmakers to give them a share of the pie.",By Reuters
39,39,March 16,Pompeo Conveyed 'Strong U.S. Objections' to Beijing Over COVID-19 Accusations,Politics,"A war of words between China and the United States showed no signs of let up on Monday, with U.",By Reuters
40,40,March 6,"$2 Billion Needed to Develop COVID-19 Shot, Says Epidemic Response Group",Asia Pacific,A global coalition set up to fight epidemic diseases issued a call on Friday for $2 billion to support the development of a vaccine against the new coronavirus that is causing COVID-19 infections around the world. ,By Reuters
41,41,March 12,Fiat Chrysler Worker Tests Positive for COVID-19 in Indiana; Plant Remains Open,Europe,"Fiat Chrysler Automobiles NV (FCA) said Thursday an employee had tested positive for COVID-19 at its Kokomo, Indiana, transmission plant but the location will remain open, raising the specter of U.S. shutdowns hitting the industry.",By Reuters
42,42,March 14,Australia's' 'War Cabinet' Set to Meet as COVID-19 Cases Surpass 250,Asia Pacific,Australia's new national cabinet is set to meet Sunday as the country’s cases of coronavirus topped 250 and the government faced questions about the possible closure of schools and tighter border controls.    ,By Reuters
43,43,11h ago,Brazil Health Minister: More Restrictive COVID-19 Measures May Be Needed,Americas,Brazilian Health Minister Luiz Henrique Mandetta said on Wednesday that more restrictive measures might be needed to lock down social interaction as the coronavirus epidemic advances.,By Reuters
44,44,March 13,UK Plans to Ban Mass Gatherings Next Week to Curb Covid-19: Sky News,Business,"British government is planning to introduce emergency laws next week to ban mass gatherings in an attempt to curb the coronavirus outbreak, Sky News reported https://news.",By The Associated Press
45,45,March 12,Men's Pro Tennis Tour Halted for 6 Weeks Because of COVID-19,Tennis,"The ATP suspended all men's professional tennis tournaments for six weeks because of the COVID-19 pandemic, while the WTA said Thursday it was calling off one event in April and would decide on any further changes to the women's tour schedule within a week.",By Reuters
46,46,March 17,"New Zealand Confirms Eight New Cases of COVID-19, All Related to Overseas Travel",Asia Pacific,"New Zealand confirmed eight new cases of coronavirus, all related to people who had recently traveled overseas, the health ministry said in a press conference on Wednesday.",By The Associated Press
47,47,10h ago,Trump Dubs COVID-19 'Chinese Virus' Despite Hate Crime Risks,Politics,"President Donald Trump said Wednesday that he doesn’t think calling COVID-19 the ""Chinese virus"" — or the ""kung-flu,"" as one administration official reportedly called it — puts Asian Americans at risk of retaliation despite growing reports they are facing virus-related discrimination.",By Reuters
48,48,March 11,"Washington State Bans Gatherings, May Close Schools to Fight COVID-19",U.S.,"Washington Governor Jay Inslee on Wednesday banned gatherings of over 250 people in the Seattle area, said he may soon close all schools and did not rule out eventual lockdowns to slow the spread of the United States' deadliest coronavirus outbreak.",By Reuters
49,49,March 17,Co-Diagnostics Says New FDA Policy to Help Expand Use of COVID-19 Test,Asia Pacific,Co-Diagnostics Inc said on Tuesday the U.S. Food and Drug Administration's new policy to expand the availability of COVID-19 tests would allow the medical test maker's tests to be distributed to a wide array of U.S. labs.,By Reuters
50,50,March 17,China Gives Go-Ahead for Human Trials of Potential COVID-19 Vaccine: State Media,Asia Pacific,"China has given the go-ahead for researchers to begin human safety tests of an experimental coronavirus vaccine in the race to develop a shot against the COVID-19 epidemic that has killed more than 7,000 people worldwide.",By Reuters
51,51,March 14,New York Governor Says 82-Year-Old Woman Is State's First COVID-19 Death,U.S.,"An 82-year-old woman who previously suffered from emphysema died at a Manhattan hospital of COVID-19, becoming New York state's first coronavirus-related death, Governor Andrew Cuomo said on Saturday. ",By Reuters
52,52,March 9,Seattle-Area Nursing Home Unable to Test 65 Workers With COVID-19 Symptoms,U.S.,The Seattle-area nursing home at the epicenter of one of the biggest coronavirus outbreaks in the United States said on Monday it had no kits to test 65 employees showing symptoms of the respiratory illness that has killed at least 13 patients at the long-term care center.,By The Editorial Board
53,53,March 14,There’s a Giant Hole in Pelosi’s Coronavirus Bill,Opinion,The legislation passed by the House doesn’t actually guarantee paid sick leave to most American workers.,By Frank Bruni
54,54,March 17,Why the Coronavirus Is So Much Worse Than Sept. 11,Opinion,We’re denied the solace of community just when we need it most.,By Daisuke Wakabayashi and Natasha Singer
55,55,March 16,Coronavirus Testing Website Goes Live and Quickly Hits Capacity,Technology,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing.",By Reuters
56,56,March 12,"Hospitals Plan for 'COVID Cabanas,' Conference Rooms to House Patients",U.S.,"U.S. hospitals, bracing for a surge in demand as more Americans are infected with the novel coronavirus, plan to use tents, conference rooms and cafeterias to house overflow patients.",By Reuters
57,57,March 18,Vanuatu to Impose Coronavirus Travel Restrictions Ahead of Election,Asia Pacific,"The South Pacific island nation of Vanuatu which has no confirmed cases of coronavirus is set to ban travel to and from any country with more than 100 cases of COVID-19, as it prepares to go to the polls for a general election on Thursday.",By Reuters
58,58,March 14,"NBA: Affected Player Gobert Pledges $500,000 to Virus Relief Effort",Pro Basketball,"Frenchman Rudy Gobert, the first NBA player known to have tested positive for the coronavirus, is donating more than $500,000 to support both the employee relief fund at the Utah Jazz's home arena and COVID-19-related social services relief in Utah, Oklahoma City and the French health care system, the NBA team said on Saturday.",By Reuters
59,59,8h ago,Nissan Will Suspend U.S. Production Through April 6,Business,Nissan Motor Co said Wednesday it will temporarily suspend production at its U.S. manufacturing to boost containment efforts around the COVID-19 coronavirus. ,By Reuters
60,60,March 9,FDA Warns Companies Selling Products That Claim to Treat Coronavirus Disease,Asia Pacific,"The U.S. Food & Drug Administration (FDA) and the Federal Trade Commission (FTC) on Monday issued warning letters to seven companies for selling products that claim to prevent, treat or cure COVID-19 caused by the new coronavirus.",By Reuters
61,61,March 11,U.S. Advises Citizens to Reconsider Travel Abroad Due to Coronavirus,U.S.,"The U.S. State Department issued a travel advisory on its website on Wednesday, advising citizens to reconsider travel abroad due to the global impact of the coronavirus outbreak and countries' response to it.",By Reuters
62,62,March 6,"Facebook, Google Ask San Francisco Staff to Work From Home as Coronavirus Spreads",Business,Social media giant Facebook Inc and Alphabet Inc's  Google on Thursday recommended their San Francisco Bay area employees work from home to minimize the risk of spreading coronavirus.  ,By Reuters
63,63,March 18,From Downing Street to Isolation for UK Professor Who Swayed Virus Response,Europe,A British professor who was in Downing Street this week after convincing Prime Minister Boris Johnson to stiffen his response to the coronavirus outbreak has self-isolated after developing a persistent dry cough and a fever.,By The Associated Press
64,64,March 7,Argentina Announces First Coronavirus Death in Latin America,Americas,"A 64-year-old man died in Argentina as a result of the new coronavirus, the first such death in Latin America, health authorities announced Saturday.",By Reuters
65,65,March 18,European Medicines Agency: Ibuprofen Okay for Coronavirus,Europe,The European Medicines Agency said on Wednesday that there is no scientific evidence showing that the widely used anti-inflammatory drug ibuprofen worsens the effects of coronavirus.,By Reuters
66,66,March 10,Trump Has Not Been Tested for Coronavirus-White House,Europe,"U.S. President Donald Trump has not been tested for the coronavirus, the White House said on Monday, though at least two lawmakers with whom he has recently come into contact have announced they were self-quarantining after attending a conference with a person who had tested positive for the virus.",By Michael T. Osterholm and Mark Olshaker
67,67,Feb. 24,Is It a Pandemic Yet?,Opinion,It’s now clear that the coronavirus epidemic was never going to be contained. What’s next?,By Reuters
68,68,March 10,Trump Has Not Been Tested for Coronavirus-White House,Europe,"U.S. President Donald Trump has not been tested for the coronavirus, the White House said on Monday, though at least two lawmakers with whom he has recently come into contact have announced they were self-quarantining after attending a conference with a person who had tested positive for the virus.",By Reuters
69,69,March 17,"Brazil Seeks State of Emergency, Bolsonaro's Second Coronavirus Test Negative",Americas,"Brazil will seek authorization for a state of emergency to allow it to scrap fiscal targets and free up funds to combat the coronavirus crisis, the government said on Tuesday, as President Jair Bolsonaro announced his second COVID-19 test was negative.",By The Associated Press
70,70,March 5,Australian Composer Brett Dean Hospitalized With Coronavirus,Asia Pacific,Musician and composer Brett Dean has been hospitalized in Australia with the new coronavirus.,By The Associated Press
71,71,March 14,"Gobert Pledges $500,000 to Help With Relief, NBA Shutdown",Pro Basketball,"Rudy Gobert of the Utah Jazz offered the first of what he said will be “many steps” he will take to help with the coronavirus pandemic, pledging Saturday to donate more than $500,000 to relief efforts.",By Jennifer Nuzzo
72,72,March 10,We Don’t Need to Close Schools to Fight the Coronavirus,Opinion,"Shutdowns could likely do more harm than good, since there’s little evidence that children are a major source of the spread.",By Christine Hauser and Johnny Diaz
73,73,March 9,F.D.A. Warns 7 Companies to Stop Claiming Silver and Other Products Treat Coronavirus,Health,The Food and Drug Administration and the Federal Trade Commission said the claims threaten public health because consumers might stop or delay appropriate medical treatment.,By Reuters
74,74,March 10,Epidemic Response Group Ups Coronavirus Vaccine Funding to $23.7 Million,Europe,The CEPI global epidemic response coalition said on Tuesday it will put a further $4.4 million into deals with the biotech firm Novavax and Britain's University of Oxford to rapidly develop potential vaccines against COVID-19.,By The Associated Press
75,75,March 13,"Visits Halted in Fed Prisons, Immigration Centers Over Virus",Politics,"Inmates at all 122 federal correctional facilities across the country will no longer be allowed visits from family, friends or attorneys for the next 30 days, in response to the threat of the coronavirus, officials told The Associated Press on Friday. ",By Tom Inglesby and Anita Cicero
76,76,March 2,How to Confront the Coronavirus at Every Level,Opinion,"Tests need to be readied, protection equipment needs to be produced, medication needs to be developed. All of this will take funding.",By The Associated Press
77,77,March 18,Sick Staff Fueled Outbreak in Seattle-Area Care Centers,Health,"Staff members who worked while sick at multiple long-term care facilities contributed to the spread of COVID-19 among vulnerable elderly in the Seattle area, federal health officials said Wednesday.",By The Associated Press
78,78,March 7,Canada Declares Coronavirus Outbreak at Long-Term Care Home,World,Canadian officials on Saturday declared an outbreak of the new coronavirus at a long-term care home in North Vancouver after health officials said two elderly residents were diagnosed with the illness.,By Reuters
79,79,March 11,Coronavirus Probe at California Nursing Home Slowed by Shortage of Test Kits,U.S.,"A shortage of coronavirus testing kits is complicating efforts by California health officials to monitor a potential outbreak of the disease at nursing home where an elderly woman died from the infectious disease this week, authorities said on Wednesday.",By Reuters
80,80,March 12,"U.S. States Scramble to Slow Virus Spread, Prevent Hospital Collapse",U.S.,"From cancelling Broadway shows to closing schools, U.S. states are scrambling to slow the spread of coronavirus and stop hospitals from being overwhelmed with a surge in critically ill patients, as has been the case in Italy.",By The Editorial Board
81,81,Feb. 29,Here Comes the Coronavirus Pandemic,Sunday Review,"Now, after many fire drills, the world may be facing a real fire.",By Reuters
82,82,March 15,"Colombia Will Block Entry by All Non-Residents, Close Schools From Monday to Stop Coronavirus",Americas,"Colombia will block entry to travelers who are not residents or citizens and will close schools and universities from Monday in a bid to control the outbreak of coronavirus, President Ivan Duque said on Sunday.",By Reuters
83,83,March 11,Text: Bank of England Cuts Rates to 0.25% to Bolster UK Economy,Europe,The Bank of England cut its key interest rate to 0.25 percent on Wednesday and announced a raft of other measures to bolster Britain's economy against disruption caused by the coronavirus outbreak.,By Reuters
84,84,March 12,EU-UK Face-To-Face Brexit Trade Talks Canceled Due to Coronavirus,Europe,"Britain and the European Union agreed to cancel face-to-face trade negotiations planned for next week in London due to the coronavirus outbreak, the UK government said on Thursday, adding however that alternatives were being explored.",By The Associated Press
85,85,March 12,People Around the World Are Panic-Buying … Toilet Paper?,Opinion,It’s important to stock up on some things while waiting out Covid-19. But hoarding unnecessary items can deplete the supply for everyone else.,By The Associated Press
86,86,March 14,Fake Coronavirus Testing Kits Seized at Los Angeles Airport,U.S.,Federal authorities warned consumers Saturday about fake home-testing kits for the coronavirus after customs agents intercepted a package at Los Angeles International Airport filled with vials labeled as COVID-19 test kits.,By Reuters
87,87,March 12,"Iran Accuses US of 'Economic Terrorism,' Urges Sanctions End",Middle East,"Iran’s foreign minister demanded Thursday that the United States immediately halt what he called a “campaign of economic terrorism” and lift sanctions, saying they have made it increasingly difficult for the country to export oil and virtually impossible to import medicine and medical equipment, including to identify and treat coronavirus patients.",By Howard Markel
88,88,March 7,Hong Kong Asks Residents to Defer Non-Urgent Travel,Asia Pacific,"The Hong Kong government has warned the city's residents to consider deferring all non-essential travel outside of the territory, as the coronavirus becomes increasingly prevalent around the world.",By Nadja Popovich and Yuliya Parshina-Kottas
89,89,March 6,Coronavirus School Closings: Don’t Wait Until It’s Too Late,Opinion,History teaches us that keeping children at home early in an outbreak can save lives.,By Reuters
90,90,March 11,What U.S. Health Care Workers Need to Fight Coronavirus,U.S.,"With Covid-19 cases on the rise, some hospitals are already running low on protective equipment for staff members, as they navigate shifting guidance on treatment protocol.",By The Associated Press
91,91,March 12,Number of Coronavirus Cases in Ireland Rises to 70 From 43,Europe,"Ireland now has 70 confirmed cases of COVID-19, up from a total of 43 a day ago, the Department of Health said in a statement on Thursday. ",By Reuters
92,92,March 12,"New Virus Slow to Spread in Africa, but Cases Creep Up",Africa,"The new coronavirus has been slow to spread in Africa but cases are increasing on the continent, with South Africa reporting 17 confirmed infections Thursday, including its first transmitted locally.",By The Associated Press
93,93,March 10,Indonesia Delays Formula E Race Due to Coronavirus Concerns,Soccer,"Indonesia's capital city will delay a Formula E race scheduled for June 6 due to concerns about the spread of the coronavirus, state news agency Antara reported, citing a letter by Jakarta Governor Anies Baswedan.",By Paul Krugman
94,94,March 17,One Mask a Day for Doctors in Virus Epicenter of Washington,Business,"Two doctors in Washington state, which leads the U.S. in coronavirus deaths, have tested positive for the disease as hospitals scramble to make due with a shortage of masks and other equipment needed to keep them from getting sick.",By The Associated Press
95,95,March 2,Paranoid Politics Goes Viral,Opinion,When everything is a liberal media conspiracy.,By The Associated Press
96,96,March 16,Zimbabwe Official Says Coronavirus Punishes US for Sanctions,Africa,"Zimbabwe’s defense minister has described the coronavirus as God’s way of punishing the United States and other western countries for imposing sanctions on Zimbabwe, prompting the president to issue a statement Monday restating his government’s commitment to fighting COVID-19.",By Reuters
97,97,10h ago,"Freddie, Fannie Suspend Some Evictions and Foreclosures",Business,Mortgage buyers Fannie Mae and Freddie Mac said Wednesday that they will suspend all foreclosure sales and evictions of borrowers in single family homes owned by their companies.,By Reuters
98,98,March 13,Australia Steps Up Lockdown to Combat Coronavirus Spread,Asia Pacific,"Australia's prime minister canceled plans to go to a rugby game on Saturday after a senior minister was diagnosed with COVID-19, while the nation's treasurer called a second crisis meeting over the rapidly growing economic threat from the coronavirus.",By The Associated Press
99,99,March 18,"JPMorgan Commits $50 Million to Businesses, People Affected by Coronavirus",Business,"JPMorgan Chase & Co said on Wednesday that it committed $50 million to funds and community groups that are providing food, support and medical supplies for people hurt by the coronavirus in the United States, Europe and Asia.",By The Associated Press
100,100,March 17,"As Virus Shuts Down Cities in Europe, Pollution Drops",Europe,"The European Union’s space agency's earth-observation satellites have detected a significant reduction in the pollutant nitrogen dioxide, a byproduct of the use of diesel motors and other human activities, in northern Italy as the advance of the COVID-19 has led to drastic measures curtailing ordinary life.","By Lisa Sanders, M.D."
101,101,March 16,German Tour Firm TUI Suspends Most Operations Over Virus,Business,German-based tour company TUI says it is suspending most of its operations until further notice in light of the deepening coronavirus crisis and applying for government help.,By Reuters
102,102,11h ago,"Partygoers in Seattle, a Suburban D.C. Mom: Coronavirus in the Community",Live,What doctors are learning about Covid-19 in the community.,By Reuters
103,103,2h ago,"China Eyes End to Coronavirus, Plays Down Warnings of 'Second Wave'",Asia Pacific,"Chinese scientists and health experts involved in the country's fight against the coronavirus believe the worst is now over, downplaying warnings that the disease could become seasonal or that a deadlier ""second wave"" could hit later in the year.",By The Associated Press
104,104,March 17,"Valencia Say 35% of Squad, Staff Tested Positive for Coronavirus",Soccer,La Liga side Valencia have said more than a third of their playing and backroom staff have tested positive for the coronavirus but that all cases were currently asymptomatic.,By Reuters
105,105,March 13,"Virus Cases Ramping Up in Africa, Which Is Racing to Prepare",Africa,"Cases of the new coronavirus are ramping up in Africa, with six new countries announcing confirmed infections in the past 24 hours.",By Reuters
106,106,March 13,WHO Officials Rethink Epidemic Messaging Amid Pandemic Debate,Asia Pacific,"The World Health Organization is considering changing the way it classifies and describes international epidemics, amid a protracted public debate over whether to call the outbreak of the new coronavirus a pandemic.",By Reuters
107,107,March 10,McDonald's Hourly Workers in U.S. Demand Paid Sick Leave as Virus Spreads,Business,Hourly wage workers at McDonald's Corp on Tuesday sought paid sick leave for those working at its U.S. restaurants and an update to the safety protocols as coronavirus cases in the United States rise.,By Reuters
108,108,March 8,Swiss Death Toll From New Coronavirus Rises to Two,Asia Pacific,"A patient infected with the new coronavirus has died in hospital in Liestal, authorities in the Swiss canton of Basel-Land said on Sunday, bringing the national death toll to two.",By Reuters
109,109,March 11,"U.S. House Speaker, Treasury Chief Discuss Coronavirus Proposal: Spokesman",U.S.,"U.S. House Speaker Nancy Pelosi and Treasury Secretary Steven Mnuchin spoke on Wednesday morning to discuss potential legislation to respond to coronavirus, Pelosi's spokesman said in a tweet.",By The Associated Press
110,110,March 16,"Audit Watchdog Says Company Audits May Take More Time, Delay Financial Reporting",Europe,Britain's Financial Reporting Council has warned accounting firms may need to revamp procedures and take extra time to complete high quality audits as the coronavirus pandemic grips.,By Reuters
111,111,March 13,AP FACT CHECK: Trump Misrepresents Obama's Actions on H1N1,Politics,"One day, President Donald Trump boasted of “smooth” coronavirus testing across the country. The next day, he pronounced the testing system inadequate, and assailed the public-health bureaucracy, Barack Obama and Joe Biden for not fixing it before he became president.",By Reuters
112,112,12h ago,Synairgen Gets Green Light for Coronavirus Drug Trial,Europe,"British pharmaceutical company Synairgen said on Wednesday it had the go-ahead to test a drug that could boost the lung function of patients with coronavirus, potentially assisting in the global fight against the pandemic.",By Reuters
113,113,March 15,"Italy Coronavirus Deaths Rise 25% to 1,809",Europe,"Italy recorded 368 new deaths from the COVID-19 outbreak on Sunday as the total rose to 1,809 from 1,441 a day earlier, the country's civil protection authority said on Sunday.",By Reuters
114,114,March 13,"IMF, World Bank Staff to Work From Home After Coronavirus Case at Fund Headquarters",Business,"The International Monetary Fund and World Bank Group on Friday advised their Washington headquarters staff to work from home after an IMF employee was diagnosed with COVID-19, the disease caused by the coronavirus.",By Peter Daszak
115,115,March 5,"NZ Man With Coronavirus Attended Packed Rock Concert in Auckland, Health Authorities Say",Asia Pacific,A person in New Zealand confirmed to have been infected was revealed on Friday to have attended a rock concert packed with thousands of other people. ,By Reuters
116,116,Feb. 27,We Knew Disease X Was Coming. It’s Here Now.,Opinion,We need to stop what drives mass epidemics rather than just respond to individual diseases.,By Reuters
117,117,March 6,'Do We Really Want to Close Schools?' U.S. Authorities Resist Coronavirus Closures,U.S.,"Like many Seattle residents, Andrew Davidoff is demanding  schools close to slow the country’s deadliest coronavirus outbreak, but as in other U.S. cities school officials are resisting that, saying closures could make things worse.",By The Associated Press
118,118,March 16,Major Airline Alliances Call on Governments for Support Due to Coronavirus,Business,"The three major airline alliances — Star, SkyTeam and oneworld — on Monday jointly called on governments and stakeholders to extend extraordinary support to airlines to alleviate pressure caused by the coronavirus outbreak.",By The Associated Press
